а	and,but,oh well,while
мельпомена	melpomene
мельтешить	flash,flicker,fuss around
мельхиор	cupronickel,german silver,nickel silver
мельче	shallower
мембрана	membrane
мембранный	membranaceous,membranous
меметика	memetics
меморандум	memorandum
мемуары	memoir
мена	barter,exchange,swap
менархе	menarche
менгир	menhir
менделевий	mendelevium
менди	mehndi
менеджер	manager
менеджмент	business management,management
менее	less
менестрель	bard,jockey,jongleur,minstrel,scop
менингит	meningitis
менора	menorah
меностаз	amenorrhea,menostasia,menostasis
менспрединг	manspreading
менструальный	menstrual
менструация	menses,menstruation,period
менструировать	menstruate
мент	cop
менталитет	mentality
менталочка	mental health
ментальность	mental setup,mentality
ментальный	mental
ментик	pelisse
ментор	mentor
менуэт	menuet
меньше	fewer,less,smaller
меньшевизм	menshevism
меньшинство	minority
меню	menu
менять	alter,change,exchange,modify,swap,transform
меняться	change,exchange,relieve,swap,take turns
мепакрин	mepacrine
мера	action,degree,extent,limit,measure,step
мергель	marl
мергельный	marly
мереология	mereology
мерехлюндия	spleen
мерещиться	appear,seem
мерзавчик	mini bottle,miniature bottle,small bottle
мерзкий	abominable,disgusting,nasty,odious,vile
мерзлота	congelation,frost,frozen subsoil
мерзлявый	thin-blooded
мерзопакостный	creepy
мерзость	abomination,loathsomeness,meanness,vileness
меридиан	meridian
меридиональный	meridional
мерин	gelding
меринос	merino
меристема	meristem
меритократия	meritocracy
мерить	gauge,measure,try on
меркантилизм	mercantilism
меркантилист	mercantilist
меркантильность	mercantilism,mercenariness,mercenary spirit
меркантильный	mercantile,mercantilistic
мерлан	whiting
мерлини	merlini
мерлушечий	lambskin
мерлушка	lambskin
мерность	regularity,rhythm
мерный	measured,measuring
мерозоит	merozoite
меромиктический	meromictic
мероним	meronym
меронимия	meronymy
мероприятие	action,event,measure
мерсеризация	mercerization,mercerizing
мертвец	cadaver,corpse,deadman,deceased
мертвецкая	morgue,mortuary
мертвый	dead
мерцать	glimmer,shimmer
мерчандайзер	merchandiser
мерчандайзинг	merchandising
мерчендайзинг	merchandising
меря	merya
мерёжа	fyke,hoop net,trap net
мерёжка	openwork
месить	knead
месмеризм	mesmerism
месмерист	mesmerist
месопотамия	mesopotamia
месопотамский	mesopotamian
мессенджер	messenger
мессианский	messianic
мессина	messina
мести	broom,sweep
местком	local committee
местничество	localism,mestnichestvo
местность	area,district,locality,place,region
местный	local
место	place,position,space
местожительство	residence
местоимение	pronoun
местоименный	pronominal
местонахождение	location,position,whereabouts
местоположение	location,whereabouts
месторождение	deposit,field,minefield
месть	avenging,revenge,vengeance
месье	monsieur
месяц	month
месяцеслов	menologion,menologium,menology
месячные	menstruation
месячный	monthly
метабиоз	metabiosis
метаболизм	metabolism
метаболит	metabolite
метаболический	metabolic
метаграмма	metagram
метаданные	metadata
метадон	methadone
метаигра	metagame
метакристалл	metacrystal
металл	metal
металлизация	metallizing
металлизирование	metallization,metallizing
металлизировать	metallize
металлизовать	metallize
металлист	headbanger,metalhead,metalworker
металлический	metal,metallic
металлографический	metallographic
металлография	metallography
металлоидный	metalloid
металлоизделие	metalware
металлоискатель	metal detector
металлокерамика	ceramic-metal,cermet
металлоконструкция	metalware,metalwork,steel-work
металлообработка	metal processing
металлорежущий	metal-cutting
металлорудный	metallic-ore,metalliferous
металлофон	metallophone
металлоцен	metallocene
металлоёмкий	metal consuming,metal-intensive
металлург	metallurgist
металлургия	metallurgy
металлъ	metal
метаматериал	metamaterial
метаморфоза	metamorphosis
метаморфопсия	metamorphopsia
метамфетамин	methamphetamine
метан	methane
метановый	methanic
метанойя	metanoia
метанол	methanol
метанолиз	methanolysis
метапроза	metafiction
метасимвол	metacharacter
метасистема	metasystem
метаскупит	metaschoepite
метастабильный	metastable
метастаз	metastasis
метатекст	metatext
метатеория	metatheory
метатония	metatony
метатрофный	metatrophic
метауровень	metalevel
метафизика	metaphysics
метафизически	metaphysically
метафизический	metaphysical
метафора	metaphor
метафоризировать	metaphorise,metaphorize
метафоризовать	metaphorise,metaphorize
метацентр	metacenter,metacentre
метацентрический	metacentric
метаязык	metalanguage
метелий	metely
метель	blizzard,snowstorm
метельщик	sweeper
метемпсихоз	metempsychosis
метеор	meteor
метеорит	meteorite
метеороид	meteoroid
метеоролог	meteorologist
метеорологический	meteorologic,meteorological
метеорология	meteorology
метеосводка	meteorological report,meteorological summary,weather report
метеоспутник	weather satellite
метизация	crossbreeding
метил	methyl
метилбензол	methylbenzene,toluene
метилирование	methylation
метилкарнозин	anserine
метин	methine
метиска	mestiza
метить	aim,label,mark,mean,tag
метка	mark,marking,sign
меткий	witty
меткость	accuracy,keenness,marksmanship
метла	broom
метнуть	cast,fling,throw
метод	approach,method,technique
метода	method
методизм	methodism
методика	method,methodology,methods
методистский	methodist,methodistic
